,datasetId,startTime,endTime,value,timestamp,Time (UTC),Air temperature,Precipitation amount,Wind speed,Cloud amount,Relative humidity,Dew-point temperature,Air temperature (Min),Air temperature (Max),Air temperature (Mean),Air temperature (Median),Precipitation amount (Min),Precipitation amount (Max),Precipitation amount (Mean),Precipitation amount (Median),Wind speed (Min),Wind speed (Max),Wind speed (Mean),Wind speed (Median),Cloud amount (Min),Cloud amount (Max),Cloud amount (Mean),Cloud amount (Median),Relative humidity (Min),Relative humidity (Max),Relative humidity (Mean),Relative humidity (Median),Dew-point temperature (Min),Dew-point temperature (Max),Dew-point temperature (Mean),Dew-point temperature (Median),hour,day_of_week,month,is_weekend,lag_1h_consumption,rolling_mean_24h,temp_hour_interaction,price
0,316,2025-04-05T06:00:00.000Z,2025-04-05T07:00:00.000Z,1.5728906910029339,2025-04-05 07:00:00,2025-04-05 07:00:00,-1.025821539478247,0.0033898305084745,1.045735088830032,2.963636363636364,55.37560975609756,-10.629756097560977,-10.6,2.5,-2.6951219512195124,-2.4,0.0,0.2,0.0033898305084745,0.0,0.9,12.8,5.988343558282208,5.6,0.0,8.0,2.963636363636364,1.5,34.0,92.0,55.37560975609756,55.0,-14.3,-3.8,-10.629756097560977,-11.1,7,5,4,1,,,-18.865853658536587,1.5728906910029306
1,316,2025-04-05T07:00:00.000Z,2025-04-05T08:00:00.000Z,-0.3215096136008222,2025-04-05 08:00:00,2025-04-05 08:00:00,-0.9045314203195252,0.0067796610169491,1.1621029268373655,3.5545454545454547,51.80975609756098,-10.982926829268292,-10.2,2.1,-2.122926829268293,-2.2,0.0,0.4,0.0067796610169491,0.0,0.6,12.9,6.166871165644172,5.6,0.0,8.0,3.5545454545454547,3.0,30.0,92.0,51.80975609756098,51.0,-15.0,-3.0,-10.982926829268292,-11.5,8,5,4,1,94.4,,-16.983414634146342,-0.3215096136008255
2,316,2025-04-05T08:00:00.000Z,2025-04-05T09:00:00.000Z,-0.3215096136008222,2025-04-05 09:00:00,2025-04-05 09:00:00,-0.7842753175219175,0.0042372881355932,1.1948938640078168,4.609090909090909,49.53170731707317,-11.022439024390245,-8.3,2.0,-1.5556097560975608,-1.5,0.0,0.3,0.0042372881355932,0.0,1.2,13.1,6.2171779141104295,5.8,0.0,8.0,4.609090909090909,6.0,27.0,93.0,49.53170731707317,48.0,-15.5,-5.0,-11.022439024390245,-11.3,9,5,4,1,84.4,,-14.000487804878047,-0.3215096136008255
3,316,2025-04-05T09:00:00.000Z,2025-04-05T10:00:00.000Z,-0.3215096136008222,2025-04-05 10:00:00,2025-04-05 10:00:00,-0.6761172061493488,0.0,1.039250461312208,4.663636363636364,47.707317073170735,-11.033170731707315,-7.8,2.9,-1.0453658536585366,-1.0,0.0,0.0,0.0,0.0,1.3,13.4,5.978395061728395,5.45,0.0,8.0,4.663636363636364,5.0,27.0,93.0,47.707317073170735,45.0,-16.3,-4.4,-11.033170731707315,-11.3,10,5,4,1,84.4,,-10.453658536585365,-0.3215096136008255
4,316,2025-04-05T10:00:00.000Z,2025-04-05T11:00:00.000Z,1.5728906910029339,2025-04-05 11:00:00,2025-04-05 11:00:00,-0.6081042731262822,0.0008474576271186,1.0312033026871197,4.354545454545455,46.47058823529412,-11.08627450980392,-7.4,3.3,-0.7245098039215685,-0.7,0.0,0.1,0.0008474576271186,0.0,1.5,12.4,5.966049382716049,5.4,0.0,8.0,4.354545454545455,5.0,26.0,93.0,46.47058823529412,44.5,-15.4,-3.9,-11.08627450980392,-11.4,11,5,4,1,84.4,,-7.969607843137253,1.5728906910029306
5,316,2025-04-05T11:00:00.000Z,2025-04-05T12:00:00.000Z,-0.3215096136008222,2025-04-05 12:00:00,2025-04-05 12:00:00,-0.5461413495572656,0.0,1.0118901219869083,4.1909090909090905,44.85294117647059,-11.31029411764706,-7.3,3.8,-0.4321951219512195,-0.3,0.0,0.0,0.0,0.0,1.7,14.7,5.93641975308642,5.55,0.0,8.0,4.1909090909090905,5.0,27.0,94.0,44.85294117647059,42.0,-15.5,-3.6,-11.31029411764706,-11.7,12,5,4,1,94.4,,-5.186341463414634,-0.3215096136008255
6,316,2025-04-05T12:00:00.000Z,2025-04-05T13:00:00.000Z,1.5728906910029339,2025-04-05 13:00:00,2025-04-05 13:00:00,-0.5093303671015921,0.0,0.9921498988197824,3.954545454545455,43.84390243902439,-11.45609756097561,-7.3,3.5,-0.2585365853658536,-0.1,0.0,0.0,0.0,0.0,0.6,16.1,5.906134969325153,5.4,0.0,8.0,3.954545454545455,4.0,28.0,93.0,43.84390243902439,41.0,-15.4,-3.9,-11.45609756097561,-11.8,13,5,4,1,84.4,,-3.360975609756097,1.5728906910029306
7,316,2025-04-05T13:00:00.000Z,2025-04-05T14:00:00.000Z,-0.3215096136008222,2025-04-05 14:00:00,2025-04-05 14:00:00,-0.5017820476654568,0.0,0.8201974234137575,4.1454545454545455,43.99024390243903,-11.41560975609756,-7.1,3.4,-0.2229268292682926,0.1,0.0,0.0,0.0,0.0,1.1,14.8,5.642331288343558,5.2,0.0,8.0,4.1454545454545455,5.0,27.0,94.0,43.99024390243903,41.0,-15.4,-5.0,-11.41560975609756,-11.8,14,5,4,1,94.4,,-3.1209756097560963,-0.3215096136008255
8,316,2025-04-05T14:00:00.000Z,2025-04-05T15:00:00.000Z,-0.3215096136008222,2025-04-05 15:00:00,2025-04-05 15:00:00,-0.5203943421655164,0.0,0.4934877201423095,3.727272727272727,44.4,-11.374146341463414,-6.2,3.3,-0.3107317073170731,0.0,0.0,0.0,0.0,0.0,1.3,14.7,5.141104294478527,4.7,0.0,8.0,3.727272727272727,3.0,27.0,94.0,44.4,41.0,-15.4,-4.8,-11.374146341463414,-11.8,15,5,4,1,84.4,,-4.660975609756097,-0.3215096136008255
9,316,2025-04-05T15:00:00.000Z,2025-04-05T16:00:00.000Z,-0.6814456714755369,2025-04-05 16:00:00,2025-04-05 16:00:00,-0.5970149545240953,0.0008474576271186,0.17797492224613815,3.309090909090909,45.74146341463415,-11.366341463414631,-6.6,2.5,-0.6721951219512196,-0.5,0.0,0.1,0.0008474576271186,0.0,1.0,13.8,4.657055214723926,4.2,0.0,8.0,3.309090909090909,3.0,30.0,94.0,45.74146341463415,42.0,-15.5,-4.6,-11.366341463414631,-11.7,16,5,4,1,84.4,,-10.755121951219513,-0.6814456714755391
10,316,2025-04-05T16:00:00.000Z,2025-04-05T17:00:00.000Z,1.0235146026678434,2025-04-05 17:00:00,2025-04-05 17:00:00,-0.7263704012995097,0.0,-0.2623774462958032,3.118181818181818,48.51219512195122,-11.145365853658538,-7.8,1.7,-1.2824390243902437,-1.2,0.0,0.0,0.0,0.0,0.8,13.2,3.9814814814814814,3.5,0.0,8.0,3.118181818181818,1.5,29.0,94.0,48.51219512195122,45.0,-15.4,-4.3,-11.145365853658538,-11.5,17,5,4,1,82.5,,-21.801463414634142,1.0235146026678414
11,316,2025-04-05T17:00:00.000Z,2025-04-05T18:00:00.000Z,1.0235146026678434,2025-04-05 18:00:00,2025-04-05 18:00:00,-0.9132171577528863,0.0,-0.6812320527316422,2.981818181818182,52.94146341463415,-10.82,-8.0,1.3,-2.1639024390243904,-2.0,0.0,0.0,0.0,0.0,0.0,10.4,3.338888888888889,2.55,0.0,8.0,2.981818181818182,0.5,32.0,94.0,52.94146341463415,51.0,-15.1,-3.8,-10.82,-11.4,18,5,4,1,91.5,,-38.95024390243903,1.0235146026678414
12,316,2025-04-05T18:00:00.000Z,2025-04-05T19:00:00.000Z,1.0235146026678434,2025-04-05 19:00:00,2025-04-05 19:00:00,-1.063459735022812,0.0,-0.8594766162773452,2.9727272727272727,57.01951219512195,-10.517073170731708,-9.1,1.0,-2.872682926829268,-2.8,0.0,0.0,0.0,0.0,0.0,10.0,3.065432098765432,2.35,0.0,8.0,2.9727272727272727,0.0,33.0,94.0,57.01951219512195,55.0,-15.1,-3.2,-10.517073170731708,-10.9,19,5,4,1,91.5,,-54.580975609756095,1.0235146026678414
