tanggal_jam,predicted_price,actual_price
2025-04-17 04:00:00,-0.7842661309984669,0.6446345417470923
2025-04-17 05:00:00,-1.1706751622984248,0.6446345417470923
2025-04-17 06:00:00,-0.8186979405221113,-1.1361017445804396
2025-04-17 07:00:00,-1.1088291256835459,0.7582985600233166
2025-04-17 08:00:00,-1.0589200265264798,-1.1361017445804396
2025-04-17 09:00:00,-1.4155894097061692,-1.1361017445804396
2025-04-17 10:00:00,-1.1629525841545554,0.6446345417470923
2025-04-17 11:00:00,-0.5451205087597049,0.6446345417470923
2025-04-17 12:00:00,-0.8565917169044612,-1.249765762856664
2025-04-17 13:00:00,-0.8534370247854426,-1.249765762856664
2025-04-17 14:00:00,-1.0058635031130716,-1.249765762856664
2025-04-17 15:00:00,-0.9008878664244084,0.6446345417470923
2025-04-17 16:00:00,-0.901138190140077,0.7582985600233166
2025-04-17 17:00:00,-0.6088580494233717,-0.7572216836596882
2025-04-17 18:00:00,-0.7463461173269758,-0.3404536166468614
2025-04-17 19:00:00,-0.7320941660865721,1.0235146026678434
2025-04-17 20:00:00,-0.8834241867979957,0.6446345417470923
2025-04-17 21:00:00,-0.7902465744040864,0.6446345417470923
2025-04-17 22:00:00,-0.6515936538381715,-0.6814456714755369
2025-04-17 23:00:00,-0.9891268140838889,1.212954633128219
2025-04-18 00:00:00,-1.0683504064339528,1.212954633128219
2025-04-18 01:00:00,-1.051017554218681,1.212954633128219
2025-04-18 02:00:00,-1.4430231122976853,0.834074572207468
2025-04-18 03:00:00,-0.8326623210093809,0.834074572207468
2025-04-18 04:00:00,-1.0299729890176614,1.212954633128219
2025-04-18 05:00:00,-1.3541673798821374,0.2657544808263411
2025-04-18 06:00:00,-0.9903206448261138,0.2657544808263411
2025-04-18 07:00:00,-1.2747927291229788,0.2657544808263411
2025-04-18 08:00:00,-1.213231586252109,0.2657544808263411
2025-04-18 09:00:00,-1.5746485096514793,0.2657544808263411
2025-04-18 10:00:00,-1.307889682758521,-0.1131255800944101
2025-04-18 11:00:00,-0.6648054473248416,0.2657544808263411
2025-04-18 12:00:00,-0.9841482777402473,0.2657544808263411
2025-04-18 13:00:00,-0.9787999126717187,0.2657544808263411
2025-04-18 14:00:00,-1.13496663592693,0.2657544808263411
2025-04-18 15:00:00,-1.0252703723845864,0.6446345417470923
2025-04-18 16:00:00,-1.0247289228024437,0.6446345417470923
2025-04-18 17:00:00,-0.7217897685466426,0.6446345417470923
2025-04-18 18:00:00,-0.8635953439785615,0.6446345417470923
2025-04-18 19:00:00,-0.8485447001647651,0.6446345417470923
2025-04-18 20:00:00,-1.004868935134795,0.6446345417470923
2025-04-18 21:00:00,-0.9083163947064732,0.6446345417470923
2025-04-18 22:00:00,-0.7712965266197414,0.6446345417470923
2025-04-18 23:00:00,-1.1334445025398507,0.6368675004982175
2025-04-19 00:00:00,-1.2806525851251638,0.6368675004982175
2025-04-19 01:00:00,-1.2626768268552917,0.3225864899644532
2025-04-19 02:00:00,-1.6028497288492185,0.3225864899644532
2025-04-19 03:00:00,-0.9714209204454902,0.3225864899644532
2025-04-19 04:00:00,-1.171972038650213,0.6366780604677562
2025-04-19 05:00:00,-1.4940087445124206,0.6446345417470923
2025-04-19 06:00:00,-1.1297435828181568,0.6446345417470923
